high,low,open,close,volume,hour
128.15,127.74,127.97,128.07,3780.73582156,1
128.6,127.93,128.0,128.44,2424.79003419,2
128.53,127.99,128.36,128.39,2277.1970995400006,3
128.39,125.0,128.38,125.74,12720.387541620003,4
126.6,125.72,125.92,126.56,4294.849504999986,5
126.6,126.31,126.56,126.47,1272.7147203600002,6
127.28,126.35,126.52,126.6,10645.261835910003,7
129.79,126.6,126.61,129.13,9191.195916449997,8
129.14,128.11,129.14,128.74,3554.1261953499993,9
130.44,124.78,128.82,126.02,17226.097511390006,10
127.55,125.16,126.08,126.2,9125.81806179,11
126.55,125.7,126.33,126.26,4272.103300330001,12
126.55,125.88,126.39,126.12,1651.1967677199993,13
126.19,124.93,126.19,125.92,5752.154931139993,14
125.83,116.72,125.78,118.5,37727.25465346003,15
119.58,117.51,118.5,117.91,16830.936758339998,16
119.41,117.8,117.91,118.62,7476.635191289998,17
121.36,118.56,118.62,120.0,8541.272754220006,18
120.4,119.37,119.92,120.02,6034.213021010003,19
120.47,119.64,120.01,120.36,3682.777174329999,20
120.26,119.3,120.23,119.81,4707.46428266,21
120.56,119.74,119.76,120.34,2181.3981272100004,22
121.12,120.31,120.46,120.48,3903.6535717600004,23
121.72,120.26,120.42,121.04,2516.2269939800003,0
121.36,120.14,121.05,120.36,6686.721835720002,1
120.69,119.81,120.69,120.07,3430.4305063000006,2
123.83,119.9,120.09,122.56,7137.314793100003,3
123.86,122.15,122.57,122.45,4095.037728329998,4
123.13,122.37,122.37,122.64,879.7275626600002,5
123.04,122.31,122.61,122.47,1256.0584721300004,6
128.88,122.43,122.44,125.02,16648.837710000033,7
125.59,121.0,125.02,122.32,8735.580207070007,8
123.67,121.58,122.35,123.09,5167.273711439996,9
123.84,119.84,122.99,121.84,13693.172982730004,10
122.21,119.01,121.9,121.48,11438.526981970002,11
122.75,121.44,121.44,122.04,2470.3112477299996,12
125.14,121.0,122.17,121.95,10603.624258520009,13
122.59,120.36,121.95,121.75,8352.039881320003,14
121.99,120.45,121.71,121.53,6525.006345460001,15
122.59,121.14,121.22,122.28,3932.023454990001,16
122.56,121.68,122.38,122.15,3299.073289919999,17
123.44,121.85,122.16,122.14,7363.264188620003,18
122.59,121.64,122.18,121.67,5236.899902269996,19
122.37,121.6,121.64,121.92,1427.47851151,20
122.24,119.33,122.07,119.94,4332.341786100002,21
120.53,119.42,119.69,120.47,9757.63078993,22
120.96,120.3,120.47,120.56,2292.58991768,23
120.97,120.15,120.63,120.56,2732.4559283299996,0
121.84,120.31,120.45,120.57,3050.8708512999992,1
121.12,120.5,120.64,120.72,3504.9247766099966,2
121.1,120.22,120.9,120.92,5122.952969350003,3
121.12,119.9,120.86,119.9,3168.90138535,4
121.98,117.41,120.19,120.81,14892.970191769995,5
121.0,120.18,120.83,120.6,2679.87903594,6
120.71,119.03,120.55,120.14,2261.45866009,7
